ARREST_DATE,YEAR,MONTH,F,M,V,TOTAL,FELONY_RATIO,OPACITY
2023-05-17,2023,5,413,465,2,880,0.4693181818181820,0.4693181818181820
2023-05-18,2023,5,338,382,5,725,0.46620689655172400,0.46620689655172400
2023-05-19,2023,5,322,393,3,718,0.44846796657381600,0.44846796657381600
2023-05-20,2023,5,182,296,5,483,0.37681159420289900,0.37681159420289900
2023-05-21,2023,5,185,250,2,437,0.4233409610983980,0.4233409610983980
2023-05-22,2023,5,238,298,0,536,0.44402985074626900,0.44402985074626900
2023-05-23,2023,5,336,410,3,749,0.4485981308411220,0.4485981308411220
2023-05-24,2023,5,417,452,3,872,0.4782110091743120,0.4782110091743120
2023-05-25,2023,5,351,419,1,771,0.45525291828793800,0.45525291828793800
2023-05-26,2023,5,257,337,6,600,0.42833333333333300,0.42833333333333300
2023-05-27,2023,5,219,330,2,551,0.397459165154265,0.397459165154265
2023-05-28,2023,5,166,296,5,467,0.3554603854389720,0.3554603854389720
2023-05-29,2023,5,197,311,0,508,0.38779527559055100,0.38779527559055100
2023-05-30,2023,5,247,367,2,616,0.400974025974026,0.400974025974026
2023-05-31,2023,5,306,405,1,712,0.4297752808988760,0.4297752808988760
2023-06-01,2023,6,345,427,5,777,0.444015444015444,0.444015444015444
2023-06-02,2023,6,260,343,6,609,0.4269293924466340,0.4269293924466340
2023-06-03,2023,6,201,332,4,537,0.3743016759776540,0.3743016759776540
2023-06-04,2023,6,178,299,1,478,0.3723849372384940,0.3723849372384940
2023-06-05,2023,6,255,306,0,561,0.45454545454545500,0.45454545454545500
2023-06-06,2023,6,310,361,6,677,0.45790251107828700,0.45790251107828700
2023-06-07,2023,6,345,395,4,744,0.4637096774193550,0.4637096774193550
2023-06-08,2023,6,452,469,5,926,0.48812095032397400,0.48812095032397400
2023-06-09,2023,6,288,386,6,680,0.4235294117647060,0.4235294117647060
2023-06-10,2023,6,217,315,2,534,0.40636704119850200,0.40636704119850200
2023-06-11,2023,6,205,271,3,479,0.4279749478079330,0.4279749478079330
2023-06-12,2023,6,225,294,1,520,0.4326923076923080,0.4326923076923080
2023-06-13,2023,6,353,374,5,732,0.4822404371584700,0.4822404371584700
2023-06-14,2023,6,430,486,6,922,0.46637744034707200,0.46637744034707200
2023-06-15,2023,6,310,380,6,696,0.4454022988505750,0.4454022988505750
2023-06-16,2023,6,280,376,2,658,0.425531914893617,0.425531914893617
2023-06-17,2023,6,191,311,6,508,0.37598425196850400,0.37598425196850400
2023-06-18,2023,6,185,274,4,463,0.39956803455723500,0.39956803455723500
2023-06-19,2023,6,203,313,0,516,0.39341085271317800,0.39341085271317800
2023-06-20,2023,6,327,399,4,730,0.44794520547945200,0.44794520547945200
2023-06-21,2023,6,442,423,3,868,0.5092165898617510,0.5092165898617510
2023-06-22,2023,6,352,423,1,776,0.4536082474226800,0.4536082474226800
2023-06-23,2023,6,311,368,3,682,0.4560117302052790,0.4560117302052790
2023-06-24,2023,6,192,327,4,523,0.367112810707457,0.367112810707457
2023-06-25,2023,6,206,276,2,484,0.4256198347107440,0.4256198347107440
2023-06-26,2023,6,256,270,1,527,0.4857685009487670,0.4857685009487670
2023-06-27,2023,6,275,329,3,607,0.45304777594728200,0.45304777594728200
2023-06-28,2023,6,329,428,3,760,0.4328947368421050,0.4328947368421050
2023-06-29,2023,6,288,348,4,640,0.45,0.45
2023-06-30,2023,6,251,389,0,640,0.3921875,0.3921875
2023-07-01,2023,7,231,349,6,586,0.39419795221843,0.39419795221843
2023-07-02,2023,7,240,348,8,596,0.40268456375838900,0.40268456375838900
2023-07-03,2023,7,250,315,1,566,0.4416961130742050,0.4416961130742050
2023-07-04,2023,7,234,310,8,552,0.42391304347826100,0.42391304347826100
2023-07-05,2023,7,332,396,3,731,0.454172366621067,0.454172366621067
2023-07-06,2023,7,321,371,3,695,0.4618705035971220,0.4618705035971220
2023-07-07,2023,7,258,358,8,624,0.41346153846153800,0.41346153846153800
2023-07-08,2023,7,229,373,6,608,0.37664473684210500,0.37664473684210500
2023-07-09,2023,7,173,292,3,468,0.3696581196581200,0.3696581196581200
2023-07-10,2023,7,267,253,2,522,0.5114942528735630,0.5114942528735630
2023-07-11,2023,7,321,368,3,692,0.4638728323699420,0.4638728323699420
2023-07-12,2023,7,370,380,4,754,0.4907161803713530,0.4907161803713530
2023-07-13,2023,7,307,377,3,687,0.4468704512372640,0.4468704512372640
2023-07-14,2023,7,279,419,8,706,0.3951841359773370,0.3951841359773370
2023-07-15,2023,7,240,278,3,521,0.46065259117082500,0.46065259117082500
2023-07-16,2023,7,200,263,1,464,0.43103448275862100,0.43103448275862100
2023-07-17,2023,7,287,318,1,606,0.4735973597359740,0.4735973597359740
2023-07-18,2023,7,332,359,2,693,0.4790764790764790,0.4790764790764790
2023-07-19,2023,7,389,397,3,789,0.49302915082382800,0.49302915082382800
2023-07-20,2023,7,342,383,4,729,0.4691358024691360,0.4691358024691360
2023-07-21,2023,7,306,328,9,643,0.4758942457231730,0.4758942457231730
2023-07-22,2023,7,242,342,2,586,0.4129692832764510,0.4129692832764510
2023-07-23,2023,7,202,244,2,448,0.45089285714285700,0.45089285714285700
2023-07-24,2023,7,246,256,3,505,0.4871287128712870,0.4871287128712870
2023-07-25,2023,7,307,323,2,632,0.48575949367088600,0.48575949367088600
2023-07-26,2023,7,345,398,1,744,0.4637096774193550,0.4637096774193550
2023-07-27,2023,7,324,382,8,714,0.453781512605042,0.453781512605042
2023-07-28,2023,7,265,311,2,578,0.458477508650519,0.458477508650519
2023-07-29,2023,7,216,313,2,531,0.4067796610169490,0.4067796610169490
2023-07-30,2023,7,173,291,2,466,0.37124463519313300,0.37124463519313300
2023-07-31,2023,7,248,269,1,518,0.47876447876447900,0.47876447876447900
2023-08-01,2023,8,341,348,2,691,0.4934876989869750,0.4934876989869750
2023-08-02,2023,8,367,426,4,797,0.4604767879548310,0.4604767879548310
2023-08-03,2023,8,354,398,2,754,0.46949602122015900,0.46949602122015900
2023-08-04,2023,8,261,331,3,595,0.43865546218487400,0.43865546218487400
2023-08-05,2023,8,225,265,6,496,0.4536290322580650,0.4536290322580650
2023-08-06,2023,8,201,272,4,477,0.42138364779874200,0.42138364779874200
2023-08-07,2023,8,228,282,2,512,0.4453125,0.4453125
2023-08-08,2023,8,330,382,5,717,0.4602510460251050,0.4602510460251050
2023-08-09,2023,8,390,453,3,846,0.46099290780141800,0.46099290780141800
2023-08-10,2023,8,341,389,5,735,0.4639455782312930,0.4639455782312930
2023-08-11,2023,8,268,348,6,622,0.43086816720257200,0.43086816720257200
2023-08-12,2023,8,235,331,2,568,0.4137323943661970,0.4137323943661970
2023-08-13,2023,8,196,282,6,484,0.4049586776859500,0.4049586776859500
2023-08-14,2023,8,252,284,4,540,0.4666666666666670,0.4666666666666670
2023-08-15,2023,8,376,349,2,727,0.517193947730399,0.517193947730399
2023-08-16,2023,8,352,420,5,777,0.45302445302445300,0.45302445302445300
2023-08-17,2023,8,366,414,7,787,0.4650571791613720,0.4650571791613720
2023-08-18,2023,8,273,364,5,642,0.4252336448598130,0.4252336448598130
2023-08-19,2023,8,202,304,1,507,0.398422090729783,0.398422090729783
2023-08-20,2023,8,177,300,5,482,0.36721991701244800,0.36721991701244800
2023-08-21,2023,8,232,276,1,509,0.45579567779960700,0.45579567779960700
2023-08-22,2023,8,330,400,4,734,0.44959128065395100,0.44959128065395100
2023-08-23,2023,8,329,412,4,745,0.44161073825503400,0.44161073825503400
2023-08-24,2023,8,273,365,3,641,0.42589703588143500,0.42589703588143500
2023-08-25,2023,8,269,348,6,623,0.4317817014446230,0.4317817014446230
2023-08-26,2023,8,232,311,4,547,0.42413162705667300,0.42413162705667300
2023-08-27,2023,8,194,291,4,489,0.3967280163599180,0.3967280163599180
2023-08-28,2023,8,238,268,6,512,0.46484375,0.46484375
2023-08-29,2023,8,324,380,5,709,0.45698166431593800,0.45698166431593800
2023-08-30,2023,8,298,399,2,699,0.4263233190271820,0.4263233190271820
